name,url,category,screenshot_status,fullshot_status,error
Just Salad,justsalad.com,E-commerce / Food,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Coursera,coursera.org,E-learning / SaaS,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Simplilearn,simplilearn.com,E-learning,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Android Auto,android.com,Tech / Auto,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Alison,alison.com,E-learning,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
EatCala,eatcala.com,E-commerce / Food,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
O’Halloran & O’Brien,ohob.com,Construction,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Swatle,swatle.ai,AI Tool / Productivity,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Quso AI,quso.ai,AI Tool / Video,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Rootly,rootly.com,SaaS / DevOps,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Overpass,overpass.com,SaaS / Talent,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Lovo AI,lovo.ai,AI Tool / Voice,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Picflow,picflow.com,SaaS / Creative,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Zeplin,zeplin.io,SaaS / Design,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Dorik,dorik.com,SaaS / Website Builder,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Tiledesk,tiledesk.com,SaaS / AI Chatbot,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Fliki,fliki.ai,AI Tool / Video,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Affine,affine.pro,SaaS / Editor,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Pretty Progress,prettyprogress.app,Mobile App / Productivity,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Kino,shotwithkino.com,SaaS / Video,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Riley,rileyapp.com,SaaS / Family,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Column,column.com,Fintech,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Clipdrop,clipdrop.co,AI Tool / Design,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Triage,triage.cc,Mobile App / Productivity,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Samara,samara.com,Real Estate,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Fable & Mane,fableandmane.com,E-commerce / Beauty,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Capital,capital.xyz,Fintech,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Traverse,traverse.link,SaaS / Learning,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Crappy Presentations,crappypresentations.com,Design Agency,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Boring Dice,boringdice.app,Mobile App / Fun,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Status,status.app,Crypto / Messenger,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Robbin Forssell,robbinforssell.com,Portfolio,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Sefik Mujkic,sefikmujkic.com,Portfolio,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
UFO Timeline,ufotimeline.com,Website / Info,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
NotifPay,notifpay.com,SaaS / Marketing,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Naoma AI,naoma.ai,AI Tool / SaaS,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Plants to the Rescue,plantstotherescue.co,E-commerce / Health,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
HeyEddie,heyeddie.ai,AI Tool / Video,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Obscura,obscura.net,Software,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
After Party Studio,afterparty.studio,Creative Agency,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
NextUpKit,nextupkit.com,Web App / Dev,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Directify,directify.app,SaaS / Website Builder,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
NumeralHQ,numeralhq.com,SaaS / Fintech,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
MyWebSEO,mywebseo.ai,SEO Tool,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Sahha,sahha.ai,API / Health,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Skarbe,skarbe.com,AI Tool / Sales,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Produktly,produktly.com,SaaS / Product,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Zencoder AI,zencoder.ai,AI Tool / Dev,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Wisprflow,wisprflow.ai,AI Tool / Writing,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
BrowserAgent,browseragent.dev,AI Tool / Browser,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
Embra,embra.ai,AI Tool / Productivity,failed - fallback generated,failed - fallback generated,"Capture failed, generated fallback"
